"query","search_interest","increase_percent"
"poco x8 pro max",2,"1.700%"
"album da copa 2026",4,"1.000%"
"poco x8 pro",6,"950%"
"figurinha da copa do mundo de 2026",1,"800%"
"album da copa 2026 capa dura",1,"700%"
"camisa seleção brasileira 2026",2,"500%"
"álbum da copa do mundo 2026",1,"500%"
"buraco negro",2,"350%"
"ovo de páscoa",15,"300%"
"panini",4,"300%"
"ovo de pascoa cacau show",3,"250%"
"bota feminina",9,"200%"
"kaloba",2,"150%"
"ovos de pascoa",3,"140%"
"páscoa 2026",2,"140%"
"cacau show",24,"130%"
"brasileirão série a",1,"120%"
"iphone 17e",1,"120%"
"nascer do sol amanhã",1,"120%"
"bota",36,"110%"
"ferrero rocher",3,"100%"
"samsung s26",3,"90%"
"samsung s26 ultra",2,"90%"
"blazer",6,"80%"
"mundo torajo",2,"70%"
"motinha eletrica",2,"70%"
"moto elétrica",8,"60%"
"s26",7,"60%"
"byd",10,"60%"
"clima",29,"60%"
"oscillococcinum",1,"60%"
"s26 ultra",4,"60%"
"bambu lab a1",2,"50%"
"clima para amanhã",4,"40%"
"google",26,"40%"
"impressora 3d",5,"40%"
"tradutor",10,"40%"
"americanas",9,"40%"
"moto eletrica",7,"30%"
"teste de gravidez",2,"30%"
"moto eletrica adulto",1,"30%"
"piano",4,"30%"
"scooter eletrica",3,"30%"
"moto elétrica adulto",1,"20%"
"shein",10,"20%"
"bicicleta eletrica",4,"20%"
"pod",5,"20%"
"calculadora",4,"20%"
"natura",14,"20%"
"chuveiro",14,"10%"
